Project,Address,Address (Obscured),Address_Clean,Watershed,Building Use,"Solar over Ecoroof",Type,Year Built,Size (sf),Number,Latitude(Non Obscured),Longitude (Non Obscured),Confidence (Non Obscured),Latitude,Longitude,Confidence,Depth Min,Depth Max,Depth Notes,Composition,Irrigation,Irrigation Notes,Drainage,Plants,Maintenance,Contractor,Notes
residence,935 SW Davenport St,SW Davenport St and SW Chelmsford Ave,935 SW DAVENPORT ST,Willamette,residential,,New,2010,1300,2,45.50593948,-122.6878738,High,45.50510,-122.688,High,,,,,,,,,,,
residence,3135 SW Evergreen Ln,SW Evergreen Ln and SW Evergreen Ter,3135 SW EVERGREEN LN,Willamette,residential,,New,2012,2800,1,45.51745605,-122.711937,High,45.51693,-122.712,High,,,,,,,,,,,
residence,4900 SW Humphrey Blvd,SW Humphrey Blvd and SW Humphrey Park Rd,4900 SW HUMPHREY BLVD,Fanno/Tryon,residential,,New,2012,1000,1,45.50460052,-122.7277527,High,45.50540,-122.729,High,4,4,,Phillips Soil Products Intensive Green Roof Growing Media B,Yes,Hand,,,,,
residence,4012 SW Idaho Ter,Sw Idaho Ter and SW Dakota St,4012 SW IDAHO TER,Fanno/Tryon,residential,,Natural,2000,1900,1,45.47687912,-122.7185516,High,45.47712,-122.720,High,,,,,,,,,,Dan Manning,
residence,4925 SW Miles St,SW Miles St and SW 51st Ave,4925 SW MILES ST,Fanno/Tryon,residential,,New,2012,500,1,45.47197342,-122.7273865,High,45.47182,-122.729,High,,,,,,,,,,,
residence,2855 SW Rutland Terrace,SW Rutland Ter and SW Champlain Dr,2855 SW RUTLAND TER,Willamette,residential,,Natural,2008,2500,1,45.52330017,-122.7077103,High,45.52236,-122.709,High,,,,,,,,,,,
Portland Children's Museum,4015 SW Canyon Rd,4015 SW Canyon Rd,,Willamette,institutional,,New,2013,740,1,,,,,,,,,,,,,,,,,
Collaborative Life Sciences Building,2750 SW Moody Ave,2750 SW Moody Ave,,Willamette,institutional,,New,2014,15300,1,,,,,,,,,,,,,,,,,
residence,6151 NE Failing St.,,,Columbia Slough,residential,,New,2013,1100,1,,,,,,,,,,,,,,,,,
Fred Meyer Stadium,100 NW 20th Pl,100 NW 20th Pl,,Willamette,commercial,,New,2014,25000,1,,,,,,,,,,,,,,,,,
